Project,"Link to project",Category,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Improved High-Temperature Receivers for Dish Concentrators",https://arena.gov.au/projects/world-class-solar-thermal-concentrators/,"Concentrated solar thermal",$1.48m,$3.38m,"Australian National University","Australian Solar Institute",01/05/2012,"Australian Capital Territory","CSIRO Newcastle Sandia National Laboratories",Past
"Pilot Study on Load Control and Optimisation",https://arena.gov.au/projects/pilot-study-on-load-control-and-optimisation/,"Hybrid technologies",$333k,$333k,"Charles Darwin University","Post Fellowship Doctorate",01/05/2012,"Haymarket, New South Wales",None,Past
"Perth Wave Energy Project",https://arena.gov.au/projects/perth-wave-energy-project/,"Ocean energy",$13.09m,$39.87m,"Carnegie Clean Energy Limited","Emerging Renewables Program",30/04/2012,"Western Australia",None,Past
"Small Scale Hydropower Technologies Impact on Australian Native Fish",https://arena.gov.au/projects/impact-of-small-scale-hydropower-technologies-on-australian-native-fish-species-2/,"Hydropower / Pumped Hydro Energy Storage",$613k,$1.12m,"Waratah Power Pty Ltd","Emerging Renewables Program",30/04/2012,"New South Wales, Sydney","Office of Environment and Heritage (NSW), NSW Department of Primary Industries, Aquatic Ecosystems (NSW), UNSW Manly Hydraulics Lab",Past
"Cost Effective Industrial Scale Synthesis",https://arena.gov.au/projects/cost-effective-industrial-scale-synthesis/,"Solar energy",$35k,$35k,"The University of Newcastle","Post Fellowship Doctorate",26/04/2012,"New South Wales, Newcastle",None,Past
"Development of Hybrid Solar Thermal Reactors for Materials Processing",https://arena.gov.au/projects/development-of-hybrid-solar-thermal-reactors-for-materials-processing/,"Concentrated solar thermal",$96k,$96k,"Swinburne University of Technology","Post Fellowship Doctorate",26/04/2012,"Hawthorn, Victoria",None,Past
"Semiconductor Nanowire Solar Cells",https://arena.gov.au/projects/semiconductor-nanowire-solar-cells/,"Solar energy",$22k,$22k,"Australian National University","Post Fellowship Doctorate",24/04/2012,"Australian Capital Territory, Canberra",None,Past
"Australian Feedstock and Refining Capacity",https://arena.gov.au/projects/australian-feedstock-and-refining-capacity-to-produce-sustainable-aviation-fuel-saf/,"Bioenergy / Energy from waste",$575k,$995k,Qantas/Shell,"Advancing Renewables Program",12/04/2012,"New South Wales, Sydney","Shell Australia",Past
"Enhancing Efficiencies in Printed Solar Cells",https://arena.gov.au/projects/enhancing-efficiencies-in-printed-solar-cells-by-controlling-morphology-development-2/,"Solar energy",$500k,$1.21m,"University of Melbourne","Australian Solar Institute",01/04/2012,"Melbourne, Victoria",None,Past
"Analysis of Variations in Instantaneous Weather Effects",https://arena.gov.au/projects/analysis-of-variations-in-instantaneous-weather-effects/,"Solar energy",$242k,$521k,"Ekistica Pty Ltd trading as CAT Projects","Australian Solar Institute",26/03/2012,"Alice Springs, Northern Territory",None,Past
"Local Doping Using Laser Chemical Processing Technology",https://arena.gov.au/projects/local-doping-using-laser-chemical-processing-technology-for-advanced-silicon-solar-cells/,"Solar energy",$352k,$1.05m,"Australian National University (ANU)","Emerging Renewables Program",26/03/2012,"Australian Capital Territory",None,Past
"Solar Efficiency Optimisation of Hybrid Organic-Inorganic Solar Cells",https://arena.gov.au/projects/solar-efficiency-optimisation-of-hybrid-organic-inorganic-solar-cells/,"Solar energy",$351k,$351k,"University of New South Wales","Australian Solar Institute",26/03/2012,"Kensington, New South Wales",None,Past
"Development of High Temperature Phase Change Storage Systems",https://arena.gov.au/projects/development-of-high-temperature-phase-change-storage-systems/,"System security and reliability",$689k,$2.33m,"University of South Australia","Australian Solar Institute",26/03/2012,"Adelaide, South Australia",None,Past
"Optimising Building Integrated Photovoltaic Thermal for Retrofitting",https://arena.gov.au/projects/optimising-thin-film-building-integrated-photovoltaic-thermal-for-retrofitting/,"Solar energy",$477k,$1.59m,"BlueScope Steel Limited","Australian Solar Institute",14/03/2012,"New South Wales",None,Past
"Demonstrate Higher Efficiency Third Generation Photovoltaics",https://arena.gov.au/projects/demonstrate-higher-efficiency-third-generation-photovoltaics/,"Solar energy",$500k,$1.59m,"University of NSW","Australian Solar Institute",14/03/2012,"New South Wales",None,Past
"Time & Spectrally Resolved Photo-Silicon Solar Cell Characterisation",https://arena.gov.au/projects/time-spectrally-resolved-photo-silicon-solar-cell-characterisation/,"Solar energy",$490k,$984k,"University of New South Wales","Australian Solar Institute",11/03/2012,"Kensington, New South Wales",None,Past
"ITO Free Efficient Organic Solar Cells",https://arena.gov.au/projects/ito-free-efficient-organic-solar-cells/,"Solar energy",$320k,$320k,CSIRO,"Post Fellowship Doctorate",11/03/2012,"Clayton, Victoria",None,Past
"Data Fusion and Machine Learning",https://arena.gov.au/projects/data-fusion-and-machine-learning-for-geothermal/,"Geothermal energy",$1.87m,$6.59m,"National ICT Australia (NICTA)","Emerging Renewables Program",07/03/2012,"New South Wales, Sydney",None,Past
"Solar Supercritical Organic Rankine Cycle",https://arena.gov.au/projects/solar-supercritical-organic-rankine-cycle-for-power-and-industrial-heat/,"Concentrated solar thermal",$812k,$1.79m,"Granite Power Ltd","Australian Solar Institute",02/03/2012,"New South Wales, Newcastle",None,Past
"Large-Area Amorphous Silicon Ultrathin Film Plasmonic Solar Cells",https://arena.gov.au/projects/large-area-amorphous-silicon-ultrathin-film-plasmonic-solar-cells/,"Solar energy",$343k,$343k,"Swinburne University of Technology","Post Fellowship Doctorate",02/03/2012,"Hawthorn, Victoria",None,Past
"Solar Gasification Using Renewable Energy",https://arena.gov.au/projects/solar-gasification-using-renewable-energy/,"Concentrated solar thermal",$273k,$273k,"The University of Adelaide","Post Fellowship Doctorate",28/02/2012,"Adelaide, South Australia",None,Past
"Solution Deposited Thin-Film Tandem Solar Cells",https://arena.gov.au/projects/solution-deposited-thin-film-tandem-solar-cells/,"Solar energy",$83k,$83k,CSIRO,"Post Fellowship Doctorate",21/02/2012,"Clayton, Victoria",None,Past
"High-Energy Algal Fuels",https://arena.gov.au/projects/high-energy-algal-fuels/,"Bioenergy / Energy from waste",$5m,$12.03m,"James Cook University","Advancing Renewables Program",20/02/2012,"Queensland, Townsville",None,Past
"Thermionic Emissions from MAX Phase Materials",https://arena.gov.au/projects/thermionic-emissions-from-max-phase-materials/,"Concentrated solar thermal",$52k,$52k,"The University of Newcastle","Post Fellowship Doctorate",09/02/2012,"New South Wales, Newcastle",None,Past
"Spectral Beam Splitting for Improving Energy Conversion Efficiency",https://arena.gov.au/projects/spectral-beam-splitting-for-improving-energy-conversion-efficiency/,"Concentrated solar thermal",$39k,$39k,RMIT,"Post Fellowship Doctorate",02/02/2012,"Melbourne, Victoria",None,Past
"Validation of CST Solar Array Performance Modelling",https://arena.gov.au/projects/validation-of-cst-solar-array-performance-modelling/,"Concentrated solar thermal",$437k,$1.26m,"Vast Solar Pty Ltd","Australian Solar Institute",01/02/2012,"Jemalong, New South Wales",None,Past
"Understanding and Optimising Dielectric Charge in Solar Cells",https://arena.gov.au/projects/understanding-and-optimising-dielectric-charge-in-solar-cells/,"Solar energy",$52k,$52k,"Australian National University","Post Fellowship Doctorate",31/01/2012,"Australian Capital Territory, Canberra",None,Past
"Facilitating High Penetration PV Integration into the Electricity Network",https://arena.gov.au/projects/facilitating-high-penetration-pv-integration-into-the-electricity-network/,"System security and reliability",$125k,$125k,"University of New South Wales","Post Fellowship Doctorate",20/01/2012,"Kensington, New South Wales",None,Past
"Material Characteristics of Crystalline Si Thin-Film Solar Cells",https://arena.gov.au/projects/material-characteristics-of-crystalline-si-thin-film-solar-cells/,"Solar energy",$84k,$84k,"University of New South Wales","Post Fellowship Doctorate",17/01/2012,"Kensington, New South Wales",None,Past
"Light-Weight and Flexible Solid-State Dye-Sensitised Solar Cells",https://arena.gov.au/projects/light-weight-and-flexible-solid-state-dye-sensitised-solar-cells/,"Solar energy",$49k,$49k,"The University of Wollongong","Post Fellowship Doctorate",05/01/2012,"New South Wales, Wollongong",None,Past
"Testing Facility for Storing Heat from Solar Energy",https://arena.gov.au/projects/development-of-a-testing-facility-for-storing-heat-from-solar-energy-at-high-temperatures/,"Concentrated solar thermal",$120k,$120k,"University of South Australia","Australian Solar Institute",23/12/2011,"Adelaide, South Australia","AORA Solar (Israel), University of Lleida (Spain)",Past
"Trapping Detrapping and Loss Mechanisms in Dye Sensitised Solar Cells",https://arena.gov.au/projects/trapping-detrapping-and-loss-mechanisms-in-dye-sensitised-solar-cells/,"Solar energy",$49k,$49k,"Monash University","Post Fellowship Doctorate",23/12/2011,"Clayton, Victoria",None,Past
"Nanostructured and Metamaterial Photovoltaics",https://arena.gov.au/projects/nanostructured-and-metamaterial-photovoltaics/,"Solar energy",$48k,$48k,"University of Sydney","Post Fellowship Doctorate",23/12/2011,"Camperdown, New South Wales",None,Past
"Development of a State of the Art Solid Particle Receiver CST System",https://arena.gov.au/projects/development-of-a-state-of-the-art-solid-particle-receiver-cst-system/,"Concentrated solar thermal",$120k,$120k,"Murdoch University","Post Fellowship Doctorate",23/12/2011,"Murdoch, Western Australia",None,Past
"Better Modelling of Concentrated Solar Thermal Power Plants",https://arena.gov.au/projects/better-modelling-of-concentrated-solar-thermal-power-plants/,"Concentrated solar thermal",$83k,$83k,"Australian National University","Post Fellowship Doctorate",17/12/2011,"Australian Capital Territory, Canberra",None,Past
"Towards a Practical Hot Carrier Solar Cell",https://arena.gov.au/projects/towards-a-practical-hot-carrier-solar-cell/,"Solar energy",$2.27m,$6.54m,"University of NSW","Australian Solar Institute",14/12/2011,"New South Wales, Sydney","Arizona State University, Purdue University, National Renewable Energy Laboratory, and Lawrence Berkeley National Laboratory",Past
"Cost Effective Gallium Arsenide Phosphide Top Solar Cell",https://arena.gov.au/projects/cost-effective-gallium-arsenide-phosphide-top-solar-cell-grown-on-a-high-performance-low-cost-silicon-solar-cell/,"Solar energy",$2.61m,$7.11m,"University of NSW","Australian Solar Institute",14/12/2011,"New South Wales",None,Past
"Multi-Junction Silicon Solar Cells",https://arena.gov.au/projects/multi-junction-silicon-solar-cells/,"Solar energy",$1.45m,$6.99m,"University of NSW (UNSW)","Australian Solar Institute",14/12/2011,"New South Wales",None,Past
"Solar-Driven Supercritical CO2 Brayton Cycle",https://arena.gov.au/projects/solar-driven-supercritical-co2-brayton-cycle/,"Concentrated solar thermal",$2.49m,$5.77m,CSIRO,"Research and Development",01/11/2011,"New South Wales, Newcastle",None,Past
"Optimisation of Central Receivers for Advanced Power Cycles",https://arena.gov.au/projects/optimisation-of-central-receivers-for-advanced-power-cycles/,"Concentrated solar thermal",$1.15m,$2.95m,CSIRO,"Australian Solar Institute",01/11/2011,"New South Wales",None,Past
"Roof-Mounted Hybrid CST System",https://arena.gov.au/projects/roof-mounted-hybrid-cst-system-self-generated-heating-cooling-electricity/,"Concentrated solar thermal",$3.24m,$9.45m,"Australian National University (ANU)","Australian Solar Institute",01/08/2011,"Australian Capital Territory, Canberra","RMIT CSIRO UNSW Chromasun NEP",Past
"Future fuels",https://arena.gov.au/projects/future-fuels-homepage/,"Electric vehicles",$0k,$0k,,"Future Fuels Fund (Round 1)",03/06/2011,,,Past
"Thermoelectric Generator for Concentrated Solar Thermal Systems",https://arena.gov.au/projects/thermoelectric-generator-for-concentrated-solar-thermal-systems/,"Concentrated solar thermal",$2.2m,$4.72m,CSIRO,"Australian Solar Institute",06/04/2011,"New South Wales, Newcastle",None,Past
"Characterising and Forecasting Grid Connected Solar Energy",https://arena.gov.au/projects/characterising-and-forecasting-grid-connected-solar-energy/,"Solar energy",$470k,$832k,"University of NSW","Australian Solar Institute",01/04/2011,"New South Wales","University of South Australia, Australian Photovoltaic Association, Epuron and Australian Bureau of Meteorology",Past
"Industry Ready N-Type Silicon Solar Cells",https://arena.gov.au/projects/industry-ready-n-type-silicon-solar-cells/,"Solar energy",$3.33m,$10.95m,"Australian National University","Australian Solar Institute",01/04/2011,"Australian Capital Territory, Canberra","Trina Solar and University of NSW",Past
"Printing Solar Cells",https://arena.gov.au/projects/printing-solar-cells-a-manufacturing-proposal-for-australia/,"Solar energy",$1.76m,$7.24m,"University of Melbourne","Australian Solar Institute",01/04/2011,"Melbourne, Victoria",None,Past
"Synthesis of Organic Photovoltaic Materials using Continuous Flow Methods",https://arena.gov.au/projects/synthesis-of-organic-photovoltaic-materials-using-continuous-flow-methods/,"Solar energy",$324k,$324k,"University of Melbourne","Post Fellowship Doctorate",01/04/2011,"Parkville, Victoria",None,Past
"Analysis of Potential for Liquid Metal Heat Transfer",https://arena.gov.au/projects/analysis-of-potential-for-liquid-metal-heat-transfer/,"Concentrated solar thermal",$29k,$29k,"University of New South Wales","Post Fellowship Doctorate",28/03/2011,"Kensington, New South Wales",None,Past
"Pilot of Rooftop CST and CPV-T Solar Energy Systems",https://arena.gov.au/projects/australian-pilot-of-rooftop-cst-and-cpv-t-micro-concentrator-solar-energy-systems/,"Concentrated solar thermal",$2.25m,$2.25m,"Chromasun Pty Ltd","Australian Solar Institute",13/03/2011,Victoria,"Futuris Group",Past
"Kogan Creek Solar Boost Project",https://arena.gov.au/projects/kogan-creek-solar-boost-project/,"Concentrated solar thermal",$6.4m,$76.2m,"CS Energy Ltd","Advancing Renewables Program",03/03/2011,"Chinchilla, Queensland",None,Past
"Improved PV Energy Conversion",https://arena.gov.au/projects/upconversion-of-the-solar-spectrum-for-improved-pv-energy-conversion/,"Solar energy",$488k,$2.09m,"University of Sydney","Australian Solar Institute",01/03/2011,"New South Wales",None,Past
"Thin Film Solar Cell: A Novel Alternative for TW-level Thin Film PV",https://arena.gov.au/projects/thin-film-solar-cell-a-novel-alternative-for-tw-level-thin-film-pv/,"Solar energy",$315k,$315k,"University of New South Wales","Post Fellowship Doctorate",01/03/2011,"New South Wales",None,Past
"Development of Novel Water-Based Materials for Commercial Organic Photovoltaics",https://arena.gov.au/projects/development-of-novel-water-based-materials-for-commercial-organic-photovoltaics/,"Solar energy",$40k,$40k,"University of Newcastle","Post Fellowship Doctorate",28/02/2011,"New South Wales, Newcastle",None,Past
"Development and Characterisation of Ion Implantation for all Back Contact Solar Cells",https://arena.gov.au/projects/development-and-characterisation-of-ion-implantation-for-all-back-contact-solar-cells/,"Solar energy",$25k,$25k,"Australian National University","Post Fellowship Doctorate",25/02/2011,"Acton, Australian Capital Territory",None,Past
"Intermediate Layers for Laser Crystallised Silicon Thin Film Solar Cells on Glass",https://arena.gov.au/projects/intermediate-layers-for-laser-crystallised-silicon-thin-film-solar-cells-on-glass/,"Solar energy",$20k,$20k,"University of New South Wales","Post Fellowship Doctorate",23/02/2011,"Kensington, New South Wales",None,Past
"Tandem Quantum Dot Solar Cells",https://arena.gov.au/projects/tandem-quantum-dot-solar-cells/,"Solar energy",$1.37m,$4.54m,"University of NSW","Australian Solar Institute",10/02/2011,"New South Wales, Sydney","Nanyang Technological University (Singapore)",Past
"Power Cube Power Tower Receiver",https://arena.gov.au/projects/power-cube-power-tower-receiver/,"Solar energy",$1.4m,$3.21m,"University of NSW","Australian Solar Institute",10/02/2011,"New South Wales, Sydney",None,Past
"The Hot Carrier Solar Cell",https://arena.gov.au/projects/the-hot-carrier-solar-cell/,"Solar energy",$563k,$1.33m,"University of NSW","Australian Solar Institute",10/02/2011,"New South Wales, Sydney","Lawrence Berkeley National Laboratory (USA) National Renewable Energy Laboratory (USA) Purdue University (USA) Arizona State University (USA)",Past
"Thermal Energy Storage Systems with High Temperature Phase Change Material",https://arena.gov.au/projects/thermal-energy-storage-systems-with-high-temperature-phase-change-material/,"Concentrated solar thermal",$278k,$278k,"University of South Australia","Post Fellowship Doctorate",10/01/2011,"South Australia",None,Past
"Solar Air Turbine Systems",https://arena.gov.au/projects/solar-air-turbine-systems/,"Concentrated solar thermal",$3.05m,$15.64m,CSIRO,"Australian Solar Institute",22/12/2010,"New South Wales, Newcastle","Mitsubishi Heavy Industries (Japan)",Past
"Geoscience Australia Solar Research Data",https://arena.gov.au/projects/geoscience-australia-solar-research-data/,"Solar energy",$4.97m,$4.97m,"Geoscience Australia","Australian Solar Institute",18/11/2010,"Australian Capital Territory, Symonston",None,Past
"Advanced Solar Thermal Energy Storage Technologies",https://arena.gov.au/projects/advanced-solar-thermal-energy-storage-technologies/,"Concentrated solar thermal",$3.53m,$9.15m,CSIRO,"Australian Solar Institute",01/09/2010,"New South Wales, Newcastle","Abengoa (Spain)",Past
"Advanced Steam-Generating Receivers",https://arena.gov.au/projects/advanced-steam-generating-receivers-for-high-concentration-solar-collectors/,"Concentrated solar thermal",$2.82m,$5.97m,CSIRO,"Advancing Renewables Program",01/09/2010,"New South Wales, Newcastle",None,Past
"Next Generation SLIVER Cells",https://arena.gov.au/projects/next-generation-sliver-cells/,"Solar energy",$4.95m,$13.3m,"Australian National University (ANU)","Australian Solar Institute",01/09/2010,"Australian Capital Territory, Canberra",None,Past
"Plasmonics for High Efficiency Solar Cells",https://arena.gov.au/projects/plasmonics-for-high-efficiency-solar-cells/,"Solar energy",$1.57m,$4.68m,"Australian National University","Australian Solar Institute",19/08/2010,"Australian Capital Territory","University of NSW, IMEC (Belgium), Imperial College (UK), Chalmers University (Sweden), Photovoltech (Belgium), QantaSol (UK)",Past
"Cooper Basin Enhanced Geothermal Systems",https://arena.gov.au/projects/cooper-basin-enhanced-geothermal-systems-heat-and-power-development/,"Geothermal energy",$32.75m,$144.22m,"Geodynamics Limited","Advancing Renewables Program",01/07/2010,"South Australia",None,Past
"High Efficiency Silicon Solar Cell Technology",https://arena.gov.au/projects/development-and-commercialisation-of-high-efficiency-silicon-solar-cell-technology/,"Solar energy",$5.79m,$28.19m,"University of NSW (UNSW)","Australian Solar Institute",16/06/2010,"New South Wales, Sydney",None,Current
"Overcoming Performance Limitations of Commercial Solar Cells",https://arena.gov.au/projects/overcoming-the-fundamental-performance-limitations-of-commercial-solar-cells/,"Solar energy",$4.4m,$15.32m,"University of NSW (UNSW)","Australian Solar Institute",16/06/2010,"New South Wales, Sydney",None,Past
"New Materials and Architectures for Organic Solar Cells",https://arena.gov.au/projects/new-materials-and-architectures-for-organic-solar-cells/,"Solar energy",$946k,$1.95m,"University of Queensland","Australian Solar Institute",01/06/2010,"Brisbane, Queensland",None,Past
"Inline Inspection Tools for Photovoltaic Manufacturing",https://arena.gov.au/projects/inline-inspection-tools-for-photovoltaic-manufacturing/,"Solar energy",$2.25m,$5.17m,"BT Imaging Pty Ltd","Australian Solar Institute",25/05/2010,"New South Wales, Sydney","Australian National University, Applied Materials (China) and Suntech R&D",Past
"Fabrication of Thermionic Device using Advanced Ceramics",https://arena.gov.au/projects/fabrication-of-thermionic-device-using-advanced-ceramics/,"Concentrated solar thermal",$515k,$705k,"University of Newcastle","Australian Solar Institute",01/03/2010,"New South Wales, Newcastle",None,Past
"King Island Renewable Energy Integration Project",https://arena.gov.au/projects/king-island-renewable-energy-integration-project/,"Battery storage",$5.95m,$17.69m,"Hydro Tasmania","Advancing Renewables Program",20/02/2010,"King Island, Tasmania","Tasmanian Government",Past
"Cane2Fuel: Feasibility of Producing Biofuel from Sugarcane Waste",https://arena.gov.au/projects/cane2fuel-feasibility-of-producing-biofuel-from-sugarcane-waste/,"Bioenergy / Energy from waste",$1.26m,$1.94m,"BSES Limited (now Sugar Research Australia)","Advancing Renewables Program",14/01/2010,"Indooroopilly, Queensland",CSIRO,Past
"Demonstrate Commercial Production of Bio-Crude Oil from Biomass",https://arena.gov.au/projects/demonstrate-commercial-production-of-bio-crude-oil-from-biomass/,"Bioenergy / Energy from waste",$2.29m,$3.04m,"Licella Pty Ltd","Advancing Renewables Program",22/12/2009,"New South Wales, Somersby","University of Sydney and Ignite Energy Resources Ltd",Past
"Generation 2 Ethanol from Sugarcane Waste",https://arena.gov.au/projects/production-of-generation-2-ethanol-from-sugarcane-waste/,"Bioenergy / Energy from waste",$2.37m,$6.19m,"Microbiogen Pty Ltd","Emerging Renewables Program",13/11/2009,"Lane Cove, New South Wales",None,Past
"Sustainable Production of Transport Biofuels",https://arena.gov.au/projects/sustainable-production-of-transport-biofuels-from-mallee-crops-by-pyrolysis-and-biorefinery/,"Bioenergy / Energy from waste",$2.5m,$6.64m,"Curtin University of Technology","Advancing Renewables Program",28/09/2009,"Perth, Western Australia","CSIRO Sustainable Ecosystems and WA Department of Environment and Conservation ",Past
"Production of Biofuel from Microalgae",https://arena.gov.au/projects/production-of-biofuel-from-microalgae/,"Bioenergy / Energy from waste",$4.2m,$4.2m,"The University of Melbourne","Advancing Renewables Program",29/05/2009,"Parkville, Victoria","Bio Fuels Pty Ltd",Past
"Solar Thermal Research Hub",https://arena.gov.au/projects/solar-thermal-research-hub/,"Concentrated solar thermal",$5m,$5m,CSIRO,"Australian Solar Institute",14/05/2009,"New South Wales, Newcastle",None,Past
"Geothermal Heat Exchanger in Hot Sedimentary Rocks",https://arena.gov.au/projects/demonstration-of-geothermal-heat-exchanger-in-hot-sedimentary-rocks/,"Geothermal energy",$4.2m,$4.2m,"MNGI PTY LTD (Trading Name: Petratherm Limited)","Emerging Renewables Program",01/05/2009,"South Australia","Beach Energy Limited ",Past
